Año,Mes,Mes_num,Accion,Tipo,Hora,Cantidad
2022,Marzo,3,Llamadas,Abuso sexual,23,1
2022,Abril,4,Llamadas,Abuso sexual,23,4
2022,Mayo,5,Llamadas,Abuso sexual,23,4
2022,Junio,6,Llamadas,Abuso sexual,23,4
2022,Enero,1,Llamadas,Abuso sexual,0,0
2022,Febrero,2,Llamadas,Abuso sexual,0,0
2022,Marzo,3,Llamadas,Abuso sexual,0,0
2022,Abril,4,Llamadas,Abuso sexual,0,0
2022,Mayo,5,Llamadas,Abuso sexual,0,0
2022,Junio,6,Llamadas,Abuso sexual,0,0
2022,Enero,1,Llamadas,Abuso sexual,1,0
2022,Febrero,2,Llamadas,Abuso sexual,1,1
2022,Marzo,3,Llamadas,Abuso sexual,1,0
2022,Abril,4,Llamadas,Abuso sexual,1,0
2022,Mayo,5,Llamadas,Abuso sexual,1,0
2022,Junio,6,Llamadas,Abuso sexual,1,1
2022,Enero,1,Llamadas,Abuso sexual,2,1
2022,Febrero,2,Llamadas,Abuso sexual,2,0
2022,Marzo,3,Llamadas,Abuso sexual,2,0
2022,Abril,4,Llamadas,Abuso sexual,2,0
2022,Mayo,5,Llamadas,Abuso sexual,2,0
2022,Junio,6,Llamadas,Abuso sexual,2,0
2022,Enero,1,Llamadas,Abuso sexual,3,0
2022,Febrero,2,Llamadas,Abuso sexual,3,0
2022,Marzo,3,Llamadas,Abuso sexual,3,0
2022,Abril,4,Llamadas,Abuso sexual,3,0
2022,Mayo,5,Llamadas,Abuso sexual,3,0
2022,Junio,6,Llamadas,Abuso sexual,3,0
2022,Enero,1,Llamadas,Abuso sexual,4,0
2022,Febrero,2,Llamadas,Abuso sexual,4,0
2022,Marzo,3,Llamadas,Abuso sexual,4,0
2022,Abril,4,Llamadas,Abuso sexual,4,0
2022,Mayo,5,Llamadas,Abuso sexual,4,0
2022,Junio,6,Llamadas,Abuso sexual,4,0
2022,Enero,1,Llamadas,Abuso sexual,5,0
2022,Febrero,2,Llamadas,Abuso sexual,5,0
2022,Marzo,3,Llamadas,Abuso sexual,5,0
2022,Abril,4,Llamadas,Abuso sexual,5,0
2022,Mayo,5,Llamadas,Abuso sexual,5,0
2022,Junio,6,Llamadas,Abuso sexual,5,1
2022,Enero,1,Llamadas,Abuso sexual,6,0
2022,Febrero,2,Llamadas,Abuso sexual,6,0
2022,Marzo,3,Llamadas,Abuso sexual,6,0
2022,Abril,4,Llamadas,Abuso sexual,6,1
2022,Mayo,5,Llamadas,Abuso sexual,6,0
2022,Junio,6,Llamadas,Abuso sexual,6,0
2022,Enero,1,Llamadas,Abuso sexual,7,0
2022,Febrero,2,Llamadas,Abuso sexual,7,0
2022,Marzo,3,Llamadas,Abuso sexual,7,0
2022,Abril,4,Llamadas,Abuso sexual,7,0
2022,Mayo,5,Llamadas,Abuso sexual,7,0
2022,Junio,6,Llamadas,Abuso sexual,7,0
2022,Enero,1,Llamadas,Abuso sexual,8,0
2022,Febrero,2,Llamadas,Abuso sexual,8,0
2022,Marzo,3,Llamadas,Abuso sexual,8,0
2022,Abril,4,Llamadas,Abuso sexual,8,0
2022,Mayo,5,Llamadas,Abuso sexual,8,0
2022,Junio,6,Llamadas,Abuso sexual,8,0
2022,Enero,1,Llamadas,Abuso sexual,9,0
2022,Febrero,2,Llamadas,Abuso sexual,9,0
2022,Marzo,3,Llamadas,Abuso sexual,9,0
2022,Abril,4,Llamadas,Abuso sexual,9,0
2022,Mayo,5,Llamadas,Abuso sexual,9,0
2022,Junio,6,Llamadas,Abuso sexual,9,0
2022,Enero,1,Llamadas,Abuso sexual,10,0
2022,Febrero,2,Llamadas,Abuso sexual,10,0
2022,Marzo,3,Llamadas,Abuso sexual,10,0
2022,Abril,4,Llamadas,Abuso sexual,10,0
2022,Mayo,5,Llamadas,Abuso sexual,10,0
2022,Junio,6,Llamadas,Abuso sexual,10,0
2022,Enero,1,Llamadas,Abuso sexual,11,0
2022,Febrero,2,Llamadas,Abuso sexual,11,0
2022,Marzo,3,Llamadas,Abuso sexual,11,0
2022,Abril,4,Llamadas,Abuso sexual,11,0
2022,Mayo,5,Llamadas,Abuso sexual,11,0
2022,Junio,6,Llamadas,Abuso sexual,11,0
2022,Enero,1,Llamadas,Abuso sexual,12,0
2022,Febrero,2,Llamadas,Abuso sexual,12,0
2022,Marzo,3,Llamadas,Abuso sexual,12,0
2022,Abril,4,Llamadas,Abuso sexual,12,0
2022,Mayo,5,Llamadas,Abuso sexual,12,0
2022,Junio,6,Llamadas,Abuso sexual,12,0
2022,Enero,1,Llamadas,Abuso sexual,13,0
2022,Febrero,2,Llamadas,Abuso sexual,13,0
2022,Marzo,3,Llamadas,Abuso sexual,13,0
2022,Abril,4,Llamadas,Abuso sexual,13,0
2022,Mayo,5,Llamadas,Abuso sexual,13,0
2022,Junio,6,Llamadas,Abuso sexual,13,0
2022,Enero,1,Llamadas,Abuso sexual,14,0
2022,Febrero,2,Llamadas,Abuso sexual,14,0
2022,Marzo,3,Llamadas,Abuso sexual,14,1
2022,Abril,4,Llamadas,Abuso sexual,14,0
2022,Mayo,5,Llamadas,Abuso sexual,14,0
2022,Junio,6,Llamadas,Abuso sexual,14,0
2022,Enero,1,Llamadas,Abuso sexual,15,0
2022,Febrero,2,Llamadas,Abuso sexual,15,0
2022,Marzo,3,Llamadas,Abuso sexual,15,0
2022,Abril,4,Llamadas,Abuso sexual,15,0
2022,Mayo,5,Llamadas,Abuso sexual,15,0
2022,Junio,6,Llamadas,Abuso sexual,15,0
2022,Enero,1,Llamadas,Abuso sexual,16,0
2022,Febrero,2,Llamadas,Abuso sexual,16,0
2022,Marzo,3,Llamadas,Abuso sexual,16,0
2022,Abril,4,Llamadas,Abuso sexual,16,0
2022,Mayo,5,Llamadas,Abuso sexual,16,0
2022,Junio,6,Llamadas,Abuso sexual,16,0
2022,Enero,1,Llamadas,Abuso sexual,17,0
2022,Febrero,2,Llamadas,Abuso sexual,17,0
2022,Marzo,3,Llamadas,Abuso sexual,17,0
2022,Abril,4,Llamadas,Abuso sexual,17,0
2022,Mayo,5,Llamadas,Abuso sexual,17,0
2022,Junio,6,Llamadas,Abuso sexual,17,0
2022,Enero,1,Llamadas,Abuso sexual,18,0
2022,Febrero,2,Llamadas,Abuso sexual,18,0
2022,Marzo,3,Llamadas,Abuso sexual,18,0
2022,Abril,4,Llamadas,Abuso sexual,18,0
2022,Mayo,5,Llamadas,Abuso sexual,18,0
2022,Junio,6,Llamadas,Abuso sexual,18,0
2022,Enero,1,Llamadas,Abuso sexual,19,0
2022,Febrero,2,Llamadas,Abuso sexual,19,0
2022,Marzo,3,Llamadas,Abuso sexual,19,0
2022,Abril,4,Llamadas,Abuso sexual,19,0
2022,Mayo,5,Llamadas,Abuso sexual,19,0
2022,Junio,6,Llamadas,Abuso sexual,19,0
2022,Enero,1,Llamadas,Abuso sexual,20,0
2022,Febrero,2,Llamadas,Abuso sexual,20,0
2022,Marzo,3,Llamadas,Abuso sexual,20,1
2022,Abril,4,Llamadas,Abuso sexual,20,0
2022,Mayo,5,Llamadas,Abuso sexual,20,0
2022,Junio,6,Llamadas,Abuso sexual,20,0
2022,Enero,1,Llamadas,Abuso sexual,21,0
2022,Febrero,2,Llamadas,Abuso sexual,21,0
2022,Marzo,3,Llamadas,Abuso sexual,21,0
2022,Abril,4,Llamadas,Abuso sexual,21,0
2022,Mayo,5,Llamadas,Abuso sexual,21,0
2022,Junio,6,Llamadas,Abuso sexual,21,0
2022,Enero,1,Llamadas,Abuso sexual,22,0
2022,Febrero,2,Llamadas,Abuso sexual,22,0
2022,Marzo,3,Llamadas,Abuso sexual,22,0
2022,Abril,4,Llamadas,Abuso sexual,22,0
2022,Mayo,5,Llamadas,Abuso sexual,22,0
2022,Junio,6,Llamadas,Abuso sexual,22,0
2022,Enero,1,Llamadas,Abuso sexual,23,0
2022,Febrero,2,Llamadas,Abuso sexual,23,0
2022,Marzo,3,Llamadas,Abuso sexual,23,0
2022,Abril,4,Llamadas,Abuso sexual,23,0
2022,Mayo,5,Llamadas,Abuso sexual,23,0
2022,Junio,6,Llamadas,Abuso sexual,23,0
2022,Enero,1,Llamadas,Violencia de género,0,374
2022,Febrero,2,Llamadas,Violencia de género,0,287
2022,Marzo,3,Llamadas,Violencia de género,0,410
2022,Abril,4,Llamadas,Violencia de género,0,336
2022,Mayo,5,Llamadas,Violencia de género,0,343
2022,Junio,6,Llamadas,Violencia de género,0,278
2022,Enero,1,Llamadas,Violencia de género,1,313
2022,Febrero,2,Llamadas,Violencia de género,1,237
2022,Marzo,3,Llamadas,Violencia de género,1,234
2022,Abril,4,Llamadas,Violencia de género,1,251
2022,Mayo,5,Llamadas,Violencia de género,1,192
2022,Junio,6,Llamadas,Violencia de género,1,193
2022,Enero,1,Llamadas,Violencia de género,2,233
2022,Febrero,2,Llamadas,Violencia de género,2,223
2022,Marzo,3,Llamadas,Violencia de género,2,196
2022,Abril,4,Llamadas,Violencia de género,2,159
2022,Mayo,5,Llamadas,Violencia de género,2,160
2022,Junio,6,Llamadas,Violencia de género,2,154
2022,Enero,1,Llamadas,Violencia de género,3,210
2022,Febrero,2,Llamadas,Violencia de género,3,210
2022,Marzo,3,Llamadas,Violencia de género,3,189
2022,Abril,4,Llamadas,Violencia de género,3,143
2022,Mayo,5,Llamadas,Violencia de género,3,130
2022,Junio,6,Llamadas,Violencia de género,3,104
2022,Enero,1,Llamadas,Violencia de género,4,145
2022,Febrero,2,Llamadas,Violencia de género,4,154
2022,Marzo,3,Llamadas,Violencia de género,4,140
2022,Abril,4,Llamadas,Violencia de género,4,154
2022,Mayo,5,Llamadas,Violencia de género,4,121
2022,Junio,6,Llamadas,Violencia de género,4,114
2022,Enero,1,Llamadas,Violencia de género,5,186
2022,Febrero,2,Llamadas,Violencia de género,5,170
2022,Marzo,3,Llamadas,Violencia de género,5,192
2022,Abril,4,Llamadas,Violencia de género,5,185
2022,Mayo,5,Llamadas,Violencia de género,5,190
2022,Junio,6,Llamadas,Violencia de género,5,114
2022,Enero,1,Llamadas,Violencia de género,6,143
2022,Febrero,2,Llamadas,Violencia de género,6,148
2022,Marzo,3,Llamadas,Violencia de género,6,173
2022,Abril,4,Llamadas,Violencia de género,6,155
2022,Mayo,5,Llamadas,Violencia de género,6,147
2022,Junio,6,Llamadas,Violencia de género,6,119
2022,Enero,1,Llamadas,Violencia de género,7,120
2022,Febrero,2,Llamadas,Violencia de género,7,130
2022,Marzo,3,Llamadas,Violencia de género,7,141
2022,Abril,4,Llamadas,Violencia de género,7,133
2022,Mayo,5,Llamadas,Violencia de género,7,104
2022,Junio,6,Llamadas,Violencia de género,7,78
2022,Enero,1,Llamadas,Violencia de género,8,124
2022,Febrero,2,Llamadas,Violencia de género,8,105
2022,Marzo,3,Llamadas,Violencia de género,8,144
2022,Abril,4,Llamadas,Violencia de género,8,91
2022,Mayo,5,Llamadas,Violencia de género,8,107
2022,Junio,6,Llamadas,Violencia de género,8,99
2022,Enero,1,Llamadas,Violencia de género,9,111
2022,Febrero,2,Llamadas,Violencia de género,9,131
2022,Marzo,3,Llamadas,Violencia de género,9,135
2022,Abril,4,Llamadas,Violencia de género,9,113
2022,Mayo,5,Llamadas,Violencia de género,9,99
2022,Junio,6,Llamadas,Violencia de género,9,113
2022,Enero,1,Llamadas,Violencia de género,10,156
2022,Febrero,2,Llamadas,Violencia de género,10,113
2022,Marzo,3,Llamadas,Violencia de género,10,174
2022,Abril,4,Llamadas,Violencia de género,10,127
2022,Mayo,5,Llamadas,Violencia de género,10,159
2022,Junio,6,Llamadas,Violencia de género,10,139
2022,Enero,1,Llamadas,Violencia de género,11,182
2022,Febrero,2,Llamadas,Violencia de género,11,138
2022,Marzo,3,Llamadas,Violencia de género,11,166
2022,Abril,4,Llamadas,Violencia de género,11,135
2022,Mayo,5,Llamadas,Violencia de género,11,138
2022,Junio,6,Llamadas,Violencia de género,11,120
2022,Enero,1,Llamadas,Violencia de género,12,152
2022,Febrero,2,Llamadas,Violencia de género,12,118
2022,Marzo,3,Llamadas,Violencia de género,12,144
2022,Abril,4,Llamadas,Violencia de género,12,121
2022,Mayo,5,Llamadas,Violencia de género,12,201
2022,Junio,6,Llamadas,Violencia de género,12,114
2022,Enero,1,Llamadas,Violencia de género,13,137
2022,Febrero,2,Llamadas,Violencia de género,13,148
2022,Marzo,3,Llamadas,Violencia de género,13,182
2022,Abril,4,Llamadas,Violencia de género,13,151
2022,Mayo,5,Llamadas,Violencia de género,13,186
2022,Junio,6,Llamadas,Violencia de género,13,140
2022,Enero,1,Llamadas,Violencia de género,14,157
2022,Febrero,2,Llamadas,Violencia de género,14,170
2022,Marzo,3,Llamadas,Violencia de género,14,189
2022,Abril,4,Llamadas,Violencia de género,14,195
2022,Mayo,5,Llamadas,Violencia de género,14,199
2022,Junio,6,Llamadas,Violencia de género,14,180
2022,Enero,1,Llamadas,Violencia de género,15,158
2022,Febrero,2,Llamadas,Violencia de género,15,107
2022,Marzo,3,Llamadas,Violencia de género,15,138
2022,Abril,4,Llamadas,Violencia de género,15,150
2022,Mayo,5,Llamadas,Violencia de género,15,149
2022,Junio,6,Llamadas,Violencia de género,15,131
2022,Enero,1,Llamadas,Violencia de género,16,131
2022,Febrero,2,Llamadas,Violencia de género,16,120
2022,Marzo,3,Llamadas,Violencia de género,16,99
2022,Abril,4,Llamadas,Violencia de género,16,148
2022,Mayo,5,Llamadas,Violencia de género,16,85
2022,Junio,6,Llamadas,Violencia de género,16,124
2022,Enero,1,Llamadas,Violencia de género,17,118
2022,Febrero,2,Llamadas,Violencia de género,17,128
2022,Marzo,3,Llamadas,Violencia de género,17,121
2022,Abril,4,Llamadas,Violencia de género,17,137
2022,Mayo,5,Llamadas,Violencia de género,17,99
2022,Junio,6,Llamadas,Violencia de género,17,131
2022,Enero,1,Llamadas,Violencia de género,18,161
2022,Febrero,2,Llamadas,Violencia de género,18,173
2022,Marzo,3,Llamadas,Violencia de género,18,153
2022,Abril,4,Llamadas,Violencia de género,18,163
2022,Mayo,5,Llamadas,Violencia de género,18,171
2022,Junio,6,Llamadas,Violencia de género,18,166
2022,Enero,1,Llamadas,Violencia de género,19,183
2022,Febrero,2,Llamadas,Violencia de género,19,177
2022,Marzo,3,Llamadas,Violencia de género,19,202
2022,Abril,4,Llamadas,Violencia de género,19,234
2022,Mayo,5,Llamadas,Violencia de género,19,194
2022,Junio,6,Llamadas,Violencia de género,19,197
2022,Enero,1,Llamadas,Violencia de género,20,193
2022,Febrero,2,Llamadas,Violencia de género,20,192
2022,Marzo,3,Llamadas,Violencia de género,20,301
2022,Abril,4,Llamadas,Violencia de género,20,247
2022,Mayo,5,Llamadas,Violencia de género,20,276
2022,Junio,6,Llamadas,Violencia de género,20,247
2022,Enero,1,Llamadas,Violencia de género,21,347
2022,Febrero,2,Llamadas,Violencia de género,21,243
2022,Marzo,3,Llamadas,Violencia de género,21,314
2022,Abril,4,Llamadas,Violencia de género,21,254
2022,Mayo,5,Llamadas,Violencia de género,21,261
2022,Junio,6,Llamadas,Violencia de género,21,196
2022,Enero,1,Llamadas,Violencia de género,22,345
2022,Febrero,2,Llamadas,Violencia de género,22,289
2022,Marzo,3,Llamadas,Violencia de género,22,325
2022,Abril,4,Llamadas,Violencia de género,22,326
2022,Mayo,5,Llamadas,Violencia de género,22,305
2022,Junio,6,Llamadas,Violencia de género,22,283
2022,Enero,1,Llamadas,Violencia de género,23,370
2022,Febrero,2,Llamadas,Violencia de género,23,342
2022,Marzo,3,Llamadas,Violencia de género,23,370
2022,Abril,4,Llamadas,Violencia de género,23,343
2022,Mayo,5,Llamadas,Violencia de género,23,307
2022,Junio,6,Llamadas,Violencia de género,23,228
2022,Enero,1,Llamadas,Violencia familiar histórica,0,3
2022,Febrero,2,Llamadas,Violencia familiar histórica,0,1
2022,Marzo,3,Llamadas,Violencia familiar histórica,0,3
2022,Abril,4,Llamadas,Violencia familiar histórica,0,1
2022,Mayo,5,Llamadas,Violencia familiar histórica,0,1
2022,Junio,6,Llamadas,Violencia familiar histórica,0,1
2022,Enero,1,Llamadas,Violencia familiar histórica,1,0
2022,Febrero,2,Llamadas,Violencia familiar histórica,1,1
2022,Marzo,3,Llamadas,Violencia familiar histórica,1,2
2022,Abril,4,Llamadas,Violencia familiar histórica,1,0
2022,Mayo,5,Llamadas,Violencia familiar histórica,1,2
2022,Junio,6,Llamadas,Violencia familiar histórica,1,0
2022,Enero,1,Llamadas,Violencia familiar histórica,2,1
2022,Febrero,2,Llamadas,Violencia familiar histórica,2,0
2022,Marzo,3,Llamadas,Violencia familiar histórica,2,0
2022,Abril,4,Llamadas,Violencia familiar histórica,2,0
2022,Mayo,5,Llamadas,Violencia familiar histórica,2,0
2022,Junio,6,Llamadas,Violencia familiar histórica,2,0
2022,Enero,1,Llamadas,Violencia familiar histórica,3,6
2022,Febrero,2,Llamadas,Violencia familiar histórica,3,1
2022,Marzo,3,Llamadas,Violencia familiar histórica,3,0
2022,Abril,4,Llamadas,Violencia familiar histórica,3,0
2022,Mayo,5,Llamadas,Violencia familiar histórica,3,0
2022,Junio,6,Llamadas,Violencia familiar histórica,3,0
2022,Enero,1,Llamadas,Violencia familiar histórica,4,0
2022,Febrero,2,Llamadas,Violencia familiar histórica,4,0
2022,Marzo,3,Llamadas,Violencia familiar histórica,4,1
2022,Abril,4,Llamadas,Violencia familiar histórica,4,1
2022,Mayo,5,Llamadas,Violencia familiar histórica,4,0
2022,Junio,6,Llamadas,Violencia familiar histórica,4,0
2022,Enero,1,Llamadas,Violencia familiar histórica,5,1
2022,Febrero,2,Llamadas,Violencia familiar histórica,5,2
2022,Marzo,3,Llamadas,Violencia familiar histórica,5,0
2022,Abril,4,Llamadas,Violencia familiar histórica,5,0
2022,Mayo,5,Llamadas,Violencia familiar histórica,5,0
2022,Junio,6,Llamadas,Violencia familiar histórica,5,1
2022,Enero,1,Llamadas,Violencia familiar histórica,6,0
2022,Febrero,2,Llamadas,Violencia familiar histórica,6,1
2022,Marzo,3,Llamadas,Violencia familiar histórica,6,1
2022,Abril,4,Llamadas,Violencia familiar histórica,6,0
2022,Mayo,5,Llamadas,Violencia familiar histórica,6,0
2022,Junio,6,Llamadas,Violencia familiar histórica,6,0
2022,Enero,1,Llamadas,Violencia familiar histórica,7,1
2022,Febrero,2,Llamadas,Violencia familiar histórica,7,2
2022,Marzo,3,Llamadas,Violencia familiar histórica,7,1
2022,Abril,4,Llamadas,Violencia familiar histórica,7,1
2022,Mayo,5,Llamadas,Violencia familiar histórica,7,1
2022,Junio,6,Llamadas,Violencia familiar histórica,7,0
2022,Enero,1,Llamadas,Violencia familiar histórica,8,1
2022,Febrero,2,Llamadas,Violencia familiar histórica,8,0
2022,Marzo,3,Llamadas,Violencia familiar histórica,8,1
2022,Abril,4,Llamadas,Violencia familiar histórica,8,3
2022,Mayo,5,Llamadas,Violencia familiar histórica,8,0
2022,Junio,6,Llamadas,Violencia familiar histórica,8,2
2022,Enero,1,Llamadas,Violencia familiar histórica,9,5
2022,Febrero,2,Llamadas,Violencia familiar histórica,9,2
2022,Marzo,3,Llamadas,Violencia familiar histórica,9,2
2022,Abril,4,Llamadas,Violencia familiar histórica,9,4
2022,Mayo,5,Llamadas,Violencia familiar histórica,9,3
2022,Junio,6,Llamadas,Violencia familiar histórica,9,0
2022,Enero,1,Llamadas,Violencia familiar histórica,10,0
2022,Febrero,2,Llamadas,Violencia familiar histórica,10,1
2022,Marzo,3,Llamadas,Violencia familiar histórica,10,0
2022,Abril,4,Llamadas,Violencia familiar histórica,10,4
2022,Mayo,5,Llamadas,Violencia familiar histórica,10,2
2022,Junio,6,Llamadas,Violencia familiar histórica,10,1
2022,Enero,1,Llamadas,Violencia familiar histórica,11,3
2022,Febrero,2,Llamadas,Violencia familiar histórica,11,3
2022,Marzo,3,Llamadas,Violencia familiar histórica,11,2
2022,Abril,4,Llamadas,Violencia familiar histórica,11,6
2022,Mayo,5,Llamadas,Violencia familiar histórica,11,1
2022,Junio,6,Llamadas,Violencia familiar histórica,11,1
